family,lat,lon,country,commodity
Li,-33.8667,116.0625,Australia,Greenbushes [Beryllium; Lithium; Niobium and Tantalum; Tin|Pegmatite; Li-Cs-Ta type pegmatite; Hydrothermal]
NiCo,-13.5,28.378,Zambia,Baluba-Muliashi-Luanshya [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-13.068,131.079,Australia,Browns [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-12.915,28.082,Zambia,Chibuluma-Chibuluma West [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-12.796,28.182,Zambia,Mindola-Nkana N-S [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-12.66,28.048,Zambia,Chambishi Southeast [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-12.507,27.867,Zambia,Chingola-Nchanga [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-12.257,27.621,Zambia,Nama [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-12.21,25.345,Zambia,Kalumbila [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-12.179,25.851,Zambia,Chimiwungo [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-12.162,25.754,Zambia,Malundwe [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-12.016,27.901,Democratic Republic of the Congo,Kipapila [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-11.634,27.581,Democratic Republic of the Congo,Etoile [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-11.599,27.263,Democratic Republic of the Congo,Lupoto [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-11.514,27.417,Democratic Republic of the Congo,Luiswishi [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-11.256,27.099,Democratic Republic of the Congo,Kipoi Central [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-11.167,27.008,Democratic Republic of the Congo,Luishia [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.851,26.611,Democratic Republic of the Congo,Kambove [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.85,26.583,Democratic Republic of the Congo,M'Sesa [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.833,26.567,Democratic Republic of the Congo,Kazibizi [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.813,26.586,Democratic Republic of the Congo,Kamfundwa [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.8,25.692,Democratic Republic of the Congo,Tilwezembe [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.786,25.813,Democratic Republic of the Congo,Mutanda [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.775,25.768,Democratic Republic of the Congo,Deziwa [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.774,25.975,Democratic Republic of the Congo,Kisanfu [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-10.76,26.115,Democratic Republic of the Congo,Écaille C [Cobalt|Stratiform sediment-hosted Cu-Co]
