subtype,lat,lon
Cu_porphyry,45.5500,22.3500
Cu_porphyry,45.8767,22.8878
Cu_porphyry,44.7378,21.7025
Cu_porphyry,46.1500,22.8000
Cu_porphyry,45.1000,21.8167
Cu_porphyry,46.3333,23.1667
Cu_porphyry,46.1667,22.9000
Cu_porphyry,44.8667,21.7167
Cu_porphyry,44.7500,21.9500
Cu_porphyry,46.2667,22.1500
Cu_porphyry,45.5667,22.2333
Cu_porphyry,46.1500,22.8500
Cu_porphyry,46.0611,22.9667
Cu_porphyry,53.4333,96.6667
Cu_porphyry,54.9964,61.0881
Cu_porphyry,53.7500,126.6167
Cu_porphyry,54.0500,89.5667
Cu_porphyry,53.9167,157.3833
Cu_porphyry,52.9333,96.7833
Cu_porphyry,67.8667,66.3333
Cu_porphyry,59.2500,153.7667
Cu_porphyry,53.2261,60.8236
Cu_porphyry,66.4833,164.7333
Cu_porphyry,53.2333,60.5667
Cu_porphyry,59.7167,150.3167
Cu_porphyry,66.6000,164.5667
Cu_porphyry,53.0875,57.4683
Cu_porphyry,54.9331,61.2672
Cu_porphyry,54.2833,157.6667
Cu_porphyry,58.9667,152.6833
Cu_porphyry,54.6333,59.8000
Cu_porphyry,54.9611,61.1256
Cu_porphyry,54.7167,61.0667
Cu_porphyry,44.0950,22.0942
Cu_porphyry,44.3833,21.9500
Cu_porphyry,43.2333,20.7167
Cu_porphyry,44.1311,22.0969
Cu_porphyry,48.4375,18.8619
Cu_porphyry,-9.3667,159.7333
Cu_porphyry,-9.7833,160.0333
Cu_porphyry,-8.0833,157.5167
Cu_porphyry,-9.5333,159.9083
Cu_porphyry,-9.4333,159.8333
Cu_porphyry,67.0725,20.9575
Cu_porphyry,64.9872,19.7717
Cu_porphyry,66.5250,19.8136
Cu_porphyry,23.4333,121.4500
Cu_porphyry,17.5000,101.6667
Cu_porphyry,18.1167,102.0833
Cu_porphyry,17.3333,101.5000
Cu_porphyry,40.9261,35.4400
Cu_porphyry,41.2000,41.9000
Cu_porphyry,39.2667,39.6000
Cu_porphyry,41.9114,27.3167
Cu_porphyry,41.1750,41.8528
