family,cell_lat,cell_lon,score_pct,nearest_anchor_lat,nearest_anchor_lon,nearest_km
Cu,-20.0,-76.0,96.3,-16.36,-73.28,496.0
Cu,-12.0,-70.0,96.2,-13.31,-71.56,223.0
Cu,42.0,-68.0,96.2,42.39,-71.03,253.0
Cu,40.0,-96.0,96.2,37.08,-97.67,355.0
Cu,42.0,-80.0,96.2,41.29,-76.6,293.0
Cu,46.0,-132.0,96.2,49.26,-125.98,578.0
Cu,56.0,-114.0,96.2,51.63,-118.43,566.0
Cu,-26.0,-62.0,96.1,-25.01,-64.87,308.0
Cu,54.0,-142.0,96.1,57.29,-135.84,532.0
Cu,-24.0,-62.0,96.1,-24.0,-64.41,245.0
Cu,44.0,-80.0,96.1,46.34,-81.08,274.0
Cu,32.0,-126.0,96.0,35.42,-120.82,612.0
Cu,50.0,-134.0,96.0,50.67,-127.83,444.0
Cu,54.0,-106.0,95.9,54.33,-102.0,263.0
Cu,62.0,-164.0,95.9,60.5,-160.17,264.0
Cu,66.0,-132.0,95.9,64.64,-136.82,270.0
Cu,-28.0,-62.0,95.9,-27.37,-66.29,428.0
Fe,30.0,-90.0,99.6,31.3,-86.95,326.0
Fe,44.0,-82.0,99.4,42.17,-80.11,255.0
Fe,28.0,-86.0,99.4,30.22,-83.9,320.0
Fe,36.0,-74.0,99.3,36.25,-76.5,226.0
Fe,38.0,-72.0,99.3,38.34,-75.39,299.0
Fe,44.0,-84.0,99.3,41.67,-83.57,261.0
Fe,28.0,-88.0,99.2,31.3,-86.95,381.0
Fe,30.0,-92.0,99.2,31.82,-95.11,359.0
Fe,30.0,-80.0,99.2,30.32,-82.45,238.0
Fe,40.0,-70.0,99.0,42.0,-71.45,253.0
Fe,40.0,-96.0,99.0,38.26,-93.49,290.0
Fe,28.0,-90.0,98.9,31.3,-86.95,471.0
Fe,46.0,-84.0,98.8,46.47,-81.08,231.0
Fe,36.0,-72.0,98.8,38.34,-75.39,397.0
Fe,34.0,-74.0,98.7,35.4,-76.79,299.0
Fe,38.0,-70.0,98.7,41.22,-73.05,443.0
Fe,30.0,-94.0,98.6,31.71,-95.21,222.0
Fe,38.0,-98.0,98.6,36.73,-94.57,334.0
Fe,32.0,-76.0,98.6,34.22,-77.87,302.0
Fe,30.0,-78.0,98.5,32.8,-79.75,353.0
Fe,40.0,-98.0,98.5,43.55,-96.06,426.0
Fe,42.0,-68.0,98.4,44.09,-68.62,238.0
Fe,28.0,-92.0,98.4,31.71,-95.21,516.0
Fe,26.0,-86.0,98.4,27.57,-82.28,408.0
Fe,48.0,-84.0,98.4,50.0,-85.0,234.0
Fe,40.0,-68.0,98.3,42.0,-71.45,365.0
Fe,42.0,-98.0,98.3,43.55,-96.06,234.0
Fe,26.0,-84.0,98.3,27.25,-81.99,243.0
Fe,26.0,-88.0,98.2,22.43,-84.21,552.0
Fe,38.0,-100.0,98.2,34.78,-98.96,370.0
Fe,40.0,-100.0,98.1,40.42,-104.68,400.0
Fe,48.0,-76.0,98.1,49.83,-74.17,243.0
Fe,36.0,-70.0,98.1,38.34,-75.39,544.0
Fe,40.0,-102.0,98.1,40.42,-104.68,232.0
Fe,38.0,-102.0,98.1,38.35,-104.58,229.0
Fe,42.0,-100.0,98.0,43.55,-96.06,365.0
Fe,34.0,-72.0,98.0,35.4,-76.79,465.0
Fe,44.0,-100.0,97.9,44.2,-103.51,281.0
Fe,36.0,-102.0,97.9,36.6,-105.26,300.0
Fe,38.0,-68.0,97.9,42.0,-71.45,533.0
Fe,48.0,-72.0,97.9,49.82,-74.0,250.0
Fe,32.0,-120.0,97.8,34.68,-119.92,298.0
Fe,26.0,-90.0,97.8,31.3,-86.95,660.0
Fe,32.0,-74.0,97.8,34.22,-77.87,437.0
Fe,38.0,-126.0,97.7,38.54,-123.18,253.0
Fe,30.0,-76.0,97.7,32.8,-79.75,473.0
Fe,28.0,-94.0,97.7,31.71,-95.21,429.0
Fe,42.0,-66.0,97.7,44.17,-68.42,311.0
Fe,46.0,-102.0,97.7,44.2,-103.51,233.0
Fe,48.0,-100.0,97.7,46.43,-97.64,249.0
Fe,34.0,-102.0,97.7,32.42,-104.47,289.0
Fe,28.0,-78.0,97.6,27.87,-81.81,375.0
Fe,50.0,-98.0,97.6,50.98,-93.67,325.0
Fe,52.0,-90.0,97.6,50.75,-86.95,253.0
Fe,48.0,-104.0,97.6,47.32,-107.13,246.0
Fe,40.0,-66.0,97.6,42.36,-71.06,498.0
Fe,48.0,-102.0,97.5,46.43,-97.64,373.0
Fe,34.0,-124.0,97.5,35.4,-120.74,336.0
Fe,26.0,-80.0,97.5,27.25,-81.99,242.0
Fe,42.0,-128.0,97.5,41.74,-124.16,319.0
Fe,32.0,-122.0,97.5,34.68,-119.92,355.0
Fe,36.0,-126.0,97.5,38.54,-123.18,377.0
Fe,52.0,-116.0,97.4,48.94,-117.33,353.0
Fe,52.0,-118.0,97.4,50.21,-120.93,285.0
Fe,50.0,-100.0,97.4,46.43,-97.64,434.0
Fe,50.0,-80.0,97.4,47.07,-79.84,326.0
Fe,32.0,-102.0,97.4,32.42,-104.47,237.0
Fe,44.0,-128.0,97.4,44.66,-124.06,322.0
Fe,26.0,-92.0,97.4,31.71,-95.21,708.0
Fe,40.0,-128.0,97.4,40.52,-124.38,313.0
Fe,52.0,-114.0,97.4,51.45,-109.82,294.0
Fe,50.0,-78.0,97.3,49.83,-74.17,275.0
Fe,36.0,-68.0,97.3,38.34,-75.39,704.0
Fe,50.0,-106.0,97.3,47.91,-108.62,301.0
Fe,34.0,-70.0,97.3,35.4,-76.79,640.0
Fe,46.0,-128.0,97.3,46.28,-124.05,306.0
Fe,24.0,-86.0,97.2,22.43,-84.21,253.0
Fe,50.0,-102.0,97.2,47.32,-107.13,480.0
Fe,30.0,-120.0,97.2,31.3,-116.4,373.0
Fe,50.0,-104.0,97.2,47.32,-107.13,376.0
Fe,38.0,-128.0,97.2,40.52,-124.38,419.0
Fe,32.0,-72.0,97.2,35.4,-76.79,582.0
Fe,52.0,-98.0,97.2,50.98,-93.67,320.0
Fe,28.0,-96.0,97.1,30.87,-98.69,412.0
Fe,48.0,-128.0,97.1,47.99,-124.67,248.0
Fe,38.0,-66.0,97.1,42.0,-71.45,643.0
Fe,52.0,-84.0,97.1,50.0,-85.0,233.0
Fe,52.0,-124.0,97.1,50.21,-120.93,292.0
Fe,24.0,-88.0,97.1,22.43,-84.21,425.0
Fe,30.0,-74.0,97.1,34.22,-77.87,594.0
Fe,42.0,-64.0,97.0,45.17,-66.23,396.0
Fe,24.0,-82.0,97.0,22.43,-84.21,285.0
Fe,28.0,-76.0,97.0,27.87,-81.81,571.0
Fe,26.0,-78.0,97.0,27.44,-81.88,417.0
Fe,52.0,-100.0,97.0,54.77,-101.88,332.0
Fe,34.0,-126.0,96.9,36.95,-121.88,497.0
Fe,52.0,-82.0,96.9,50.0,-85.0,306.0
Fe,32.0,-124.0,96.9,34.68,-119.92,482.0
Fe,26.0,-94.0,96.9,24.68,-99.08,531.0
Fe,44.0,-130.0,96.9,44.66,-124.06,478.0
Fe,42.0,-130.0,96.9,41.74,-124.16,484.0
Fe,28.0,-118.0,96.8,29.92,-115.25,342.0
Fe,24.0,-90.0,96.8,22.43,-84.21,617.0
Fe,46.0,-130.0,96.8,46.28,-124.05,459.0
Fe,36.0,-128.0,96.8,38.54,-123.18,511.0
Fe,54.0,-92.0,96.8,50.98,-93.67,354.0
Fe,40.0,-64.0,96.8,44.17,-68.42,590.0
Fe,54.0,-90.0,96.8,50.98,-93.67,418.0
Fe,52.0,-106.0,96.8,51.45,-109.82,270.0
Fe,52.0,-102.0,96.8,54.77,-101.88,308.0
Fe,40.0,-130.0,96.7,40.52,-124.38,480.0
Fe,30.0,-122.0,96.7,34.68,-119.92,556.0
Fe,54.0,-94.0,96.7,55.82,-97.76,314.0
Fe,48.0,-130.0,96.7,50.65,-127.65,340.0
Fe,52.0,-80.0,96.7,55.17,-77.0,404.0
Fe,54.0,-118.0,96.7,50.21,-120.93,466.0
Fe,54.0,-120.0,96.7,50.21,-120.93,426.0
Fe,48.0,-64.0,96.6,50.18,-62.82,257.0
Fe,28.0,-98.0,96.6,26.78,-100.62,292.0
Fe,54.0,-122.0,96.6,50.21,-120.93,428.0
NiCo,46.0,-126.0,99.7,47.57,-123.35,267.0
NiCo,50.0,-112.0,99.6,47.63,-110.42,288.0
NiCo,44.0,-128.0,99.5,42.67,-124.15,345.0
NiCo,46.0,-128.0,99.4,47.57,-123.35,395.0
NiCo,50.0,-126.0,99.4,48.9,-122.25,297.0
NiCo,50.0,-110.0,99.4,47.63,-110.42,265.0
NiCo,42.0,-128.0,99.4,42.35,-124.3,307.0
NiCo,44.0,-84.0,99.3,41.94,-85.0,243.0
NiCo,52.0,-116.0,99.3,53.7,-113.2,267.0
NiCo,48.0,-128.0,99.2,47.58,-123.35,350.0
NiCo,52.0,-124.0,99.0,51.38,-120.06,280.0
NiCo,44.0,-86.0,99.0,41.94,-85.0,243.0
NiCo,58.0,-142.0,98.9,59.9,-144.42,253.0
NiCo,38.0,-126.0,98.9,39.02,-123.3,261.0
NiCo,48.0,-106.0,98.9,47.03,-109.62,292.0
NiCo,40.0,-128.0,98.9,39.91,-123.67,369.0
NiCo,50.0,-108.0,98.9,47.63,-110.42,318.0
