depth_top_km,depth_bot_km,depth_mid_km,density_gcc,region,region_zh,shell_mass_kg,element,ppm_mass,shell_element_mass_kg
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ho,1.0562500000000001,1540878366597263.0
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Hf,2.4375,3555873153685991.5
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,K,17183.58837579618,2.5067758190557663e+19
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Pr,7.475,1.0904677671303706e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Pt,0.0040625,5926455256143.319
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ag,0.0609375,88896828842149.78
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Se,0.040625,59264552561433.195
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Br,1.95,2844698522948793.0
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ta,1.625,2370582102457327.5
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ne,0.0040625,5926455256143.319
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Dy,4.2250000000000005,6163513466389052.0
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,I,0.36562500000000003,533380973052898.7
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ti,6163.817375109552,8.991898555230896e+18
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ir,0.0008125,1185291051228.6638
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Si,273387.6237932756,3.988232664601084e+20
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,N,15.4375,2.2520529973344612e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Rh,0.0008125,1185291051228.6638
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ge,1.21875,1777936576842995.8
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Mg,27525.449751861044,4.015466987313863e+19
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,In,0.203125,296322762807165.94
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,As,1.4625000000000001,2133523892211594.8
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Pd,0.0121875,17779365768429.957
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Te,0.0008125,1185291051228.6638
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Zn,56.875,8.297037358600646e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Cu,48.75,7.111746307371982e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,He,0.0065,9482328409829.31
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Al,81555.89201647705,1.189753464395095e+20
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Kr,8.125e-05,118529105122.86636
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Lu,0.65,948232840982931.1
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,La,31.6875,4.622635099791789e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Ce,54.03125,7.879759952961984e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,V,97.5,1.4219115704593056e+17
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Sm,5.728125,8353730476448421.0
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Sr,300.625,4.384227342249526e+17
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Bi,0.00690625,10071873624086.746
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,F,475.3125,6.931818905989115e+17
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Y,26.812500000000004,3.9102568187630904e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Er,2.84375,4147242080506307.5
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Re,0.00056875,829448416101.2616
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Mn,1047.7653650972654,1.5280304571880207e+18
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Au,0.00325,4739705234864.352
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Ga,15.4375,2.251359986560567e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Co,20.3125,2.9623157717902196e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Hg,0.06906250000000001,100718736240867.5
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,P,967.6899570240947,1.4112508169331574e+18
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,O,456585.25532038603,6.658706230165878e+20
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,U,2.19375,3199301033533437.5
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Ba,345.3125,5.0359368120433734e+17
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Os,0.00121875,1777389463074.1318
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,C,162.5,2.3698526174321757e+17
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Pb,11.375,1.658896832202523e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Mo,0.975,1421911570459305.5
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Nb,16.25,2.3698526174321756e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Ca,49262.55349500714,7.184307159479092e+19
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,W,1.015625,1481157885895109.8
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Tb,0.975,1421911570459305.5
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Cr,82.875,1.2086248348904096e+17
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Sc,17.875,2.6068378791753936e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Li,16.25,2.3698526174321756e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Tl,0.6906249999999999,1007187362408674.8
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Tm,0.4225,616161680532365.8
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Cd,0.121875,177738946307413.2
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Zr,134.0625,1.955128409381545e+17
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Fe,62211.6127348643,9.072760201501232e+19
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Gd,5.0375000000000005,7346543114039746.0
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Eu,1.625,2369852617432176.0
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Xe,2.4375e-05,35547789261.482635
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Sb,0.1625,236985261743217.6
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Nd,33.71875,4.917444181171765e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Cs,2.4375,3554778926148264.0
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,H,1137.5,1.6588968322025231e+18
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Rb,73.125,1.0664336778444792e+17
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,B,8.125,1.1849263087160878e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,S,284.375,4.147242080506308e+17
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Ni,68.25,9.953380993215138e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Be,2.275,3317793664405046.0
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Cl,117.8125,1.7181431476383274e+17
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Ru,0.0008125,1184926308716.088
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Ar,2.84375,4147242080506307.5
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Na,22930.62681510165,3.3441357524387127e+19
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Sn,1.86875,2725330510047002.0
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Th,7.8,1.1375292563674444e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Yb,2.6,3791764187891481.5
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Ho,1.0562500000000001,1540404201330914.5
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Hf,2.4375,3554778926148264.0
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,K,17183.58837579618,2.5060044239543194e+19
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Pr,7.475,1.0901322040188008e+16
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Pt,0.0040625,5924631543580.439
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Ag,0.0609375,88869473153706.6
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Se,0.040625,59246315435804.4
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Br,1.95,2843823140918611.0
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Ta,1.625,2369852617432176.0
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Ne,0.0040625,5924631543580.439
1.967,2.95,2.458,2.9099,crust,地壳(等效),1.4583708414967237e+21,Dy,4.2250000000000005,6161616805323658.0
